asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
067-450-014-000,067-450-014-000,2237 DEERFIELD AVE,shasta,2025,1002,CS,HOT,0.95,"$3,538.79","$1,668.95","$1,869.84",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/067450014000/2025/0000,2026-07-01T16:38:55.372630
061-150-005-000,061-150-005-000,10723 SWEDE CREEK RD,shasta,2025,110002,CS,HOT,0.95,"$1,852.70",$0.00,"$1,852.70",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/061150005000/2025/0000,2026-07-01T16:28:44.013010
057-550-001-000,057-550-001-000,24294 DERSCH RD,shasta,2025,144082,CS,HOT,0.95,"$3,501.98","$1,651.42","$1,850.56",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/057550001000/2025/0000,2026-07-01T08:18:54.012816
990-183-151-000,068-400-034-000,3082 LAWRENCE RD,shasta,2025,1002,SS,HOT,0.95,"$1,835.62",$0.00,"$1,835.62",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183151000/2025/0000,2026-07-01T16:41:42.112736
113-100-033-000,113-100-033-000,800 LAKE BLVD,shasta,2025,1333,CS,HOT,0.95,"$1,827.04",$0.00,"$1,827.04",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/113100033000/2025/0000,2026-07-01T18:36:08.942239
114-250-017-000,114-250-017-000,3749 MAGNUMS WAY,shasta,2025,1015,CS,HOT,0.95,"$1,817.16",$0.00,"$1,817.16",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/114250017000/2025/0000,2026-07-01T18:46:11.685491
060-700-010-000,060-700-010-000,,shasta,2025,103005,CS,HOT,0.95,"$1,805.38",$0.00,"$1,805.38",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/060700010000/2025/0000,2026-07-01T16:27:49.588264
088-150-017-000,088-150-017-000,3292 FOOTHILL VISTA DR,shasta,2025,144073,CS,HOT,0.95,"$1,795.46",$0.00,"$1,795.46",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/088150017000/2025/0000,2026-07-01T17:25:26.219986
101-750-006-000,101-750-006-000,2042 MARKET ST,shasta,2025,1249,CS,HOT,0.95,"$3,393.93","$1,599.97","$1,793.96",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/101750006000/2025/0000,2026-07-01T17:45:18.668223
051-150-034-000,051-150-034-000,18812 JESSIE RD,shasta,2025,52023,CS,HOT,0.95,"$3,537.06","$1,751.53","$1,785.53",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/051150034000/2025/0000,2026-07-01T07:52:42.090298
