asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
068-300-020-000,068-300-020-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300020000/2025/0000,2026-07-01T16:40:36.279745
068-300-022-000,068-300-022-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300022000/2025/0000,2026-07-01T16:40:37.573738
068-300-024-000,068-300-024-000,,shasta,2025,1268,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068300024000/2025/0000,2026-07-01T16:40:38.858100
068-350-009-000,068-350-009-000,,shasta,2025,74000,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068350009000/2025/0000,2026-07-01T16:40:39.545120
068-350-013-000,068-350-013-000,,shasta,2025,1065,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068350013000/2025/0000,2026-07-01T16:40:40.851410
068-350-016-000,068-350-016-000,,shasta,2025,74000,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068350016000/2025/0000,2026-07-01T16:40:41.527081
800-003-912-000,068-350-017-000,5211 CHURN CREEK RD,shasta,2025,74000,CU,HOT,0.85,$211.13,$211.13,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800003912000/2025/0000,2026-07-01T16:40:42.783197
800-001-068-000,068-350-025-000,1412 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,$83.36,$83.36,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800001068000/2025/0000,2026-07-01T16:40:45.338807
800-002-947-000,068-350-025-000,8592 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,"$34,436.45","$34,436.45",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800002947000/2025/0000,2026-07-01T16:40:46.045001
800-006-518-000,068-350-028-000,8537 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,$38.80,$38.80,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800006518000/2025/0000,2026-07-01T16:40:47.424470
800-009-916-000,068-350-028-000,8537 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,$818.10,$818.10,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800009916000/2025/0000,2026-07-01T16:40:48.060174
800-000-997-000,068-350-031-000,8562 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,"$4,490.38","$4,490.38",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800000997000/2025/0000,2026-07-01T16:40:49.448815
800-003-816-000,068-350-038-000,8530 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,$556.11,$556.11,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800003816000/2025/0000,2026-07-01T16:40:50.772038
800-004-406-000,068-350-038-000,8530 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,$139.57,$139.57,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800004406000/2025/0000,2026-07-01T16:40:51.425106
990-182-354-000,068-350-040-000,,shasta,2025,74000,SS,HOT,0.85,($47.53),($47.53),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990182354000/2025/0000,2026-07-01T16:40:54.686458
800-004-661-000,068-350-046-000,5175 CHURN CREEK RD,shasta,2025,1262,CU,HOT,0.85,"$3,640.48","$3,640.48",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800004661000/2025/0000,2026-07-01T16:40:57.924610
850-000-329-000,068-350-046-000,5175 CHURN CREEK RD,shasta,2025,1262,CU,HOT,0.85,"$1,401.58","$1,401.58",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/850000329000/2025/0000,2026-07-01T16:40:58.553814
068-350-047-000,068-350-047-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068350047000/2025/0000,2026-07-01T16:40:59.198855
068-350-049-000,068-350-049-000,,shasta,2025,1262,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068350049000/2025/0000,2026-07-01T16:41:00.528923
800-010-811-000,068-350-050-000,8780 OLD OREGON TRL,shasta,2025,74000,CU,HOT,0.85,"$39,078.92","$39,078.92",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800010811000/2025/0000,2026-07-01T16:41:01.776849
800-010-811-001,068-350-050-000,8780 OLD OREGON TRL,shasta,2025,74000,CU,HOT,0.85,"($11,802.82)",$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800010811001/2025/0000,2026-07-01T16:41:02.440602
800-000-871-000,068-350-051-000,8599 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,"$11,871.84","$11,871.84",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800000871000/2025/0000,2026-07-01T16:41:03.716497
800-005-716-000,068-350-051-000,8599 COMMERCIAL WAY,shasta,2025,74000,CU,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800005716000/2025/0000,2026-07-01T16:41:04.345386
800-001-901-000,068-350-052-000,5200 CHURN CREEK RD #B,shasta,2025,1002,CU,HOT,0.85,$80.27,$80.27,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800001901000/2025/0000,2026-07-01T16:41:05.626306
