asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at
005-100-008-000,5100008000,4041 FORT PECK ST,2025,0,3026,CS,005-100-008-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100008000/2025/0000,shasta,2026-07-01T05:02:42.035368
005-100-009-000,5100009000,1740 LASSEN AVE,2025,0,3026,CS,005-100-009-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100009000/2025/0000,shasta,2026-07-01T05:02:42.035368
005-100-011-000,5100011000,4054 MEADE ST,2025,0,3026,CS,005-100-011-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100011000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-012-000,5100012000,4064 MEADE ST,2025,0,3026,CS,005-100-012-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100012000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-014-000,5100014000,1704 SAN GORGONIO AVE,2025,0,3026,CS,005-100-014-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100014000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-015-000,5100015000,1712 SAN GORGONIO AVE,2025,0,3026,CS,005-100-015-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100015000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-016-000,5100016000,1707 SAN GORGONIO AVE,2025,0,3026,CS,005-100-016-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100016000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-017-000,5100017000,4128 MEADE ST,2025,0,3026,CS,005-100-017-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100017000/2025/0000,shasta,2026-07-01T05:02:42.035888
800-014-176-000,800014176000,4128 MEADE ST,2025,0,3026,CU,005-100-017-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800014176000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-018-000,5100018000,4134 MEADE ST,2025,0,3026,CS,005-100-018-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100018000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-019-000,5100019000,4140 MEADE ST,2025,0,3026,CS,005-100-019-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100019000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-020-000,5100020000,4152 MEADE ST,2025,0,3026,CS,005-100-020-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100020000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-021-000,5100021000,4166 MEADE ST,2025,0,3026,CS,005-100-021-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100021000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-022-000,5100022000,4170 MEADE ST,2025,0,3026,CS,005-100-022-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100022000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-023-000,5100023000,1740 MONTANA AVE,2025,0,3026,CS,005-100-023-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100023000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-024-000,5100024000,4159 FORT PECK ST,2025,0,3026,CS,005-100-024-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100024000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-025-000,5100025000,4151 FORT PECK ST,2025,0,3026,CS,005-100-025-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100025000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-026-000,5100026000,4147 FORT PECK ST,2025,0,3026,CS,005-100-026-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100026000/2025/0000,shasta,2026-07-01T05:02:42.035888
800-010-602-000,800010602000,4147 FORT PECK ST,2025,0,3026,DU,005-100-026-000,https://common2.mptsweb.com/MBC/shasta/tax/main/800010602000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-027-000,5100027000,4143 FORT PECK ST,2025,0,3026,CS,005-100-027-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100027000/2025/0000,shasta,2026-07-01T05:02:42.035888
910-804-941-000,910804941000,4143 FORT PECK ST,2025,0,3026,DU,005-100-027-000,https://common2.mptsweb.com/MBC/shasta/tax/main/910804941000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-028-000,5100028000,4125 FORT PECK ST,2025,0,3026,CS,005-100-028-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100028000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-029-000,5100029000,4101 FORT PECK ST,2025,0,3026,CS,005-100-029-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100029000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-030-000,5100030000,4085 FORT PECK ST,2025,0,3026,CS,005-100-030-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100030000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-031-000,5100031000,4081 FORT PECK ST,2025,0,3026,CS,005-100-031-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100031000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-033-000,5100033000,4069 FORT PECK ST,2025,0,3026,CS,005-100-033-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100033000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-034-000,5100034000,4065 FORT PECK ST,2025,0,3026,CS,005-100-034-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100034000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-036-000,5100036000,,2025,0,3026,CS,005-100-036-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100036000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-037-000,5100037000,,2025,0,3026,CS,005-100-037-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100037000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-038-000,5100038000,,2025,0,3026,CS,005-100-038-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100038000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-039-000,5100039000,1805 ASHBY RD,2025,0,3026,CS,005-100-039-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100039000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-040-000,5100040000,,2025,0,3026,CS,005-100-040-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100040000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-041-000,5100041000,1845 ASHBY RD,2025,0,3026,CS,005-100-041-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100041000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-042-000,5100042000,1855 ASHBY RD,2025,0,3026,CS,005-100-042-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100042000/2025/0000,shasta,2026-07-01T05:02:42.035888
990-181-255-000,990181255000,1855 ASHBY RD,2025,0,3026,SS,005-100-042-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990181255000/2025/0000,shasta,2026-07-01T05:02:42.035888
991-181-255-000,991181255000,1855 ASHBY RD,2025,0,3026,SS,005-100-042-000,https://common2.mptsweb.com/MBC/shasta/tax/main/991181255000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-043-000,5100043000,4036 FORT PECK ST,2025,0,3026,CS,005-100-043-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100043000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-044-000,5100044000,4040 FORT PECK ST,2025,0,3026,CS,005-100-044-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100044000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-045-000,5100045000,4050 FORT PECK ST,2025,0,3026,CS,005-100-045-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100045000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-046-000,5100046000,4052 FORT PECK ST,2025,0,3026,CS,005-100-046-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100046000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-047-000,5100047000,4060 FORT PECK ST,2025,0,3026,CS,005-100-047-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100047000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-048-000,5100048000,4066 FORT PECK ST,2025,0,3026,CS,005-100-048-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100048000/2025/0000,shasta,2026-07-01T05:02:42.035888
990-181-560-000,990181560000,4066 FORT PECK ST,2025,0,3026,SS,005-100-048-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990181560000/2025/0000,shasta,2026-07-01T05:02:42.035888
991-181-560-000,991181560000,4066 FORT PECK ST,2025,0,3026,SS,005-100-048-000,https://common2.mptsweb.com/MBC/shasta/tax/main/991181560000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-049-000,5100049000,4072 FORT PECK ST,2025,0,3026,CS,005-100-049-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100049000/2025/0000,shasta,2026-07-01T05:02:42.035888
